group_name,group_value,raw_n_original_correct,raw_attack_success,raw_asr_pct,raw_asr_ci_lower_pct,raw_asr_ci_upper_pct,weighted_lpr_all_pct,weighted_lpr_resolved_pct,adjusted_success_all,adjusted_asr_all_pct,adjusted_asr_all_ci_lower_pct,adjusted_asr_all_ci_upper_pct,adjusted_success_resolved,adjusted_asr_resolved_pct,adjusted_asr_resolved_ci_lower_pct,adjusted_asr_resolved_ci_upper_pct
condition_type,bt,7715,592,7.673363577446533,7.10027096405966,8.28858583728441,63.659909909909906,68.83392227142228,376.8666666666667,4.884856340462303,4.261806005616764,5.506156837329876,407.4968198468199,5.281877120503174,4.620675543941908,5.956865488151944
condition_type,llm,31896,1931,6.054050664660146,5.797581916516305,6.321103575419712,91.1620921802175,93.7957260319644,1760.34,5.518999247554552,5.2705637070479066,5.766687045397542,1811.1954696772327,5.678440775260951,5.419968166789661,5.941739849191401
llm_generator,claude_sonnet,7974,384,4.815650865312264,4.3671014692544246,5.307714241294801,93.29166666666667,94.74659863945578,358.24,4.492600953097567,4.05114747930775,4.946827188362177,363.8269387755102,4.56266539723489,4.126972226061229,5.026065196582771
llm_generator,gemini,7974,466,5.843992977175821,5.350080215827416,6.380429391956049,86.0,90.45454372507838,400.76,5.025833960371207,4.561324303987961,5.501392024078254,421.51817375886526,5.286157182830014,4.8133436661170075,5.772234940862768
llm_generator,gpt,7974,311,3.9001755706044645,3.4969701057155813,4.347776647539749,95.83922829581992,97.33360128617363,298.05999999999995,3.73789816904941,3.3342989716578884,4.145479056935039,302.7075,3.796181339352897,3.4027942375219458,4.206216557980102
llm_generator,hyperclova_x,7974,770,9.656383245548032,9.027389405233823,10.324229284979015,91.33506493506493,93.91465677179963,703.28,8.819663907700024,8.189603712064208,9.46353147730123,723.1428571428571,9.068759181626,8.434419196572533,9.718893083004456
llm_target,claude_sonnet,8276,460,5.5582406959884,5.084928322827052,6.072790860751104,91.09130434782608,93.77386852058122,419.02,5.06307394876752,4.594478008699855,5.52202754954084,431.3597951946736,5.2121773223136,4.765875534139491,5.677879425952068
llm_target,gemini,8408,286,3.401522359657469,3.034849985467452,3.8107552442514727,91.28671328671328,93.89184675506864,261.08,3.105137963843958,2.737143196955281,3.4757492863939103,268.53068171949633,3.193752161268986,2.8311057995264735,3.561124192842207
llm_target,gpt,8092,504,6.228373702422145,5.722304268811147,6.775982215273327,91.2579365079365,93.81111572035095,459.93999999999994,5.683885318833415,5.200123578843302,6.18389149777558,472.80802323056884,5.8429068614751465,5.336120470448147,6.360482163654842
llm_target,hyperclova_x,7120,681,9.564606741573034,8.903105534706688,10.269716694927833,91.08663729809103,93.75873267731187,620.3,8.712078651685392,8.053623595505616,9.391882022471908,638.4969695324938,8.96765406646761,8.306338331419406,9.622118273154948
bt_target,claude_sonnet,2001,130,6.496751624187906,5.49802136305085,7.662194256985923,48.410256410256416,57.739644970414204,62.93333333333334,3.145094119606864,2.085623854739297,4.311261036148591,75.06153846153846,3.7512013224157155,2.4866989582132013,5.144447007265597
bt_target,gemini,2032,116,5.708661417322835,4.7809649415229005,6.803505833392472,31.494252873563216,34.00208986415883,36.53333333333333,1.7979002624671916,1.0531496062992125,2.65748031496063,39.442424242424245,1.9410641851586734,1.1023622047244095,2.934912610355523
bt_target,gpt,1957,164,8.380173735309146,7.232558154984825,9.690863028708069,67.47967479674796,74.15650406504065,110.66666666666666,5.654913983989098,4.281979219894396,7.1197411003236235,121.61666666666667,6.2144438766819965,4.7861948560722185,7.744038494293988
bt_target,hyperclova_x,1725,182,10.55072463768116,9.18762474608947,12.089135881320065,91.61172161172162,94.16274201988487,166.73333333333335,9.665700483091788,8.05024154589372,11.281352657004827,171.37619047619046,9.934851621808143,8.364927536231884,11.505410628019323
bt_label,Contradiction,2607,118,4.526275412351362,3.7929919503720972,5.393374307540379,68.7005649717514,69.65667101260323,81.06666666666666,3.1095767804628562,2.4114563355069683,3.8537271448663852,82.1948717948718,3.152852773105938,2.443692032299628,3.9066713876840455
bt_label,Entailment,2795,278,9.946332737030412,8.89117592443433,11.111438266388257,53.06954436450839,62.01166339655547,147.53333333333333,5.278473464519976,4.116875372689326,6.542635658914729,172.39242424242423,6.167886377188702,4.843058491895702,7.571355776006938
bt_label,Neutral,2313,196,8.473843493298746,7.406608711308574,9.67878387408582,75.64625850340136,78.0150631681244,148.26666666666665,6.410145554114425,5.19375990776769,7.6552817408848535,152.90952380952382,6.610874354065016,5.438685071953555,7.868568958063121
llm_label,Contradiction,10768,494,4.587667161961367,4.208435542575815,4.999288713414871,91.56275303643724,93.85698105152993,452.32,4.200594353640416,3.82243220653789,4.592505572065378,463.65348639455783,4.305845898909341,3.9273142392172327,4.692105680032042
llm_label,Entailment,11580,570,4.922279792746114,4.542992133624731,5.331464996049627,92.3719298245614,94.70222878625134,526.52,4.546804835924006,4.172361830742659,4.931968911917098,539.8027040816327,4.661508670825843,4.287182866454009,5.043471124416952
llm_label,Neutral,9548,867,9.080435693338918,8.520439694997448,9.673344888977988,90.13840830449827,93.16485342572574,781.5,8.184960201089234,7.650602220360285,8.726461038961038,807.7392792010421,8.459774604116486,7.910317748181778,8.99608685371527
