method,n_samples,ppl_mean,ppl_std,ppl_median,ppl_q1,ppl_q3,defect_count,defect_rate,defect_types
Gemini,3000,241.31493230819703,418.25915888424686,136.64496612548828,75.73502349853516,261.3207778930664,1,0.03333333333333333,dangling_end:1
GPT,3000,319.8167853132884,731.3328359813555,142.70464324951172,76.2666015625,290.64371490478516,0,0.0,
Back Translation,3000,326.6696057062149,688.4403508718831,143.37891387939453,74.46797370910645,312.8148651123047,0,0.0,
Claude Sonnet,3000,374.81187105623883,806.7420296386205,159.36327362060547,83.37627410888672,356.66773986816406,2,0.06666666666666667,api_error:2; too_short:2
HyperCLOVA X,3000,448.05525786066056,911.8003046529982,207.40930938720703,110.5337142944336,415.4082946777344,9,0.3,api_error:9; too_short:9
BERT-Attack,3000,728.9413469748497,1359.3933859229885,268.5796356201172,125.60172271728516,686.0030670166016,261,8.7,too_short:12; unk_token:249
EDA,3000,1159.2355063816706,2051.308158370474,389.5665740966797,177.25281143188477,1042.1258850097656,11,0.36666666666666664,too_short:11
