method,n_samples,ppl_mean,ppl_std,ppl_median,ppl_q1,ppl_q3,defect_count,defect_rate,defect_types
Gemini,2209,243.75120066560302,408.39976713497475,136.26490783691406,74.03555297851562,263.75579833984375,0,0.0,
Back Translation,2136,298.0863006842717,528.2593989994182,140.1247329711914,70.77791023254395,299.0830535888672,0,0.0,
GPT,2209,310.5942653640464,659.0705532612457,140.2367706298828,73.2485580444336,294.0233154296875,0,0.0,
Claude Sonnet,2209,365.680993416019,769.0663457597125,156.0836639404297,79.28282928466797,350.5635070800781,0,0.0,
HyperCLOVA X,2209,449.2022096321776,876.1183824736943,208.80795288085938,110.81201171875,421.86700439453125,0,0.0,
BERT-Attack,3000,728.9413469748497,1359.3933859229885,268.5796356201172,125.60172271728516,686.0030670166016,261,8.7,too_short:12; unk_token:249
EDA,3000,1159.2355063816706,2051.308158370474,389.5665740966797,177.25281143188477,1042.1258850097656,11,0.36666666666666664,too_short:11
